"","Weight","Conference","ELO","ActualFinish","ExpectedFinish"
"239",149,"Big 12",1323.32,"cons 24","E[cons 32]"
"242",149,"Big 12",1292.43,"cons 32","E[NQ]"
"243",149,"Big 12",1414.76,"cons 12","E[cons 12]"
"244",149,"Big 12",1327.54,"cons 32","E[NQ]"
"245",149,"Big Ten",1323.92,"cons 24","E[cons 32]"
"246",149,"Big Ten",1388.91,"cons 24","E[cons 16]"
"248",149,"Big Ten",1372.79,"cons 24","E[NQ]"
"250",149,"Big Ten",1462.21,"cons 16","E[AA]"
"251",149,"Big Ten",1351.52,"cons 24","E[cons 24]"
"252",149,"Big Ten",1420.7,"cons 12","E[AA]"
"253",149,"Big Ten",1342.5,"cons 32","E[cons 24]"
"254",149,"Big Ten",1390.95,"cons 16","E[cons 16]"
"257",149,"Big Ten",1583.73,"AA","E[AA]"
"258",149,"Big Ten",1501.01,"AA","E[AA]"
"261",149,"EIWA",1330.32,"cons 24","E[cons 32]"
"266",149,"EIWA",1463.11,"AA","E[AA]"
"272",149,"EIWA",1406.92,"cons 32","E[cons 12]"
"273",149,"EIWA",1376.71,"cons 16","E[cons 16]"
"274",149,"EIWA",1331.59,"cons 32","E[NQ]"
"278",149,"EWL",1316.86,"cons 32","E[NQ]"
"279",149,"EWL",1419.18,"AA","E[AA]"
"286",149,"MAC",1431.23,"AA","E[NQ]"
"287",149,"MAC",1414.52,"cons 12","E[NQ]"
"289",149,"MAC",1345.63,"cons 33","E[cons 24]"
"294",149,"Pac 12",1415.73,"AA","E[AA]"
"302",149,"SoCon",1289.42,"cons 32","E[NQ]"
"306",157,"ACC",1403.95,"cons 16","E[AA]"
"308",157,"ACC",1483.14,"AA","E[AA]"
"310",157,"ACC",1384.34,"cons 12","E[cons 16]"
"311",157,"ACC",1382.65,"cons 24","E[cons 16]"
"312",157,"Big 12",1379.21,"cons 24","E[cons 24]"
"319",157,"Big 12",1382.26,"cons 24","E[cons 24]"
"323",157,"Big 12",1369.83,"AA","E[cons 32]"
"325",157,"Big Ten",1431.11,"AA","E[AA]"
"326",157,"Big Ten",1390.13,"cons 24","E[cons 12]"
"328",157,"Big Ten",1470.37,"AA","E[AA]"
"329",157,"Big Ten",1504.98,"AA","E[AA]"
"331",157,"Big Ten",1549.47,"AA","E[NQ]"
"333",157,"Big Ten",1436.88,"AA","E[AA]"
"335",157,"Big Ten",1384.37,"cons 16","E[cons 16]"
"337",157,"Big Ten",1392.23,"cons 12","E[cons 12]"
"339",157,"EIWA",1366.58,"cons 24","E[NQ]"
"340",157,"EIWA",1380.31,"cons 32","E[cons 24]"
"342",157,"EIWA",1393.52,"cons 24","E[cons 12]"
"348",157,"EIWA",1398.8,"cons 16","E[AA]"
"349",157,"EIWA",1368.44,"cons 32","E[cons 32]"
"351",157,"EIWA",1351.82,"cons 24","E[cons 32]"
"352",157,"EIWA",1381.89,"cons 16","E[cons 24]"
"355",157,"EWL",1348.48,"cons 32","E[NQ]"
"358",157,"EWL",1357.51,"cons 32","E[cons 32]"
"362",157,"MAC",1348.99,"cons 24","E[NQ]"
"364",157,"MAC",1376.87,"cons 32","E[cons 24]"
"365",157,"MAC",1444.61,"cons 12","E[AA]"
"367",157,"MAC",1327.4,"cons 32","E[NQ]"
"369",157,"Pac 12",1371.7,"cons 12","E[cons 24]"
"370",157,"Pac 12",1374.16,"cons 32","E[NQ]"
"372",157,"Pac 12",1440.47,"AA","E[NQ]"
"373",157,"Pac 12",1364.97,"cons 32","E[cons 32]"
"376",157,"SoCon",1349.61,"cons 33","E[NQ]"
"387",165,"ACC",1365.6,"cons 24","E[cons 24]"
"388",165,"ACC",1351.19,"cons 32","E[cons 32]"
"391",165,"ACC",1467.48,"AA","E[AA]"
"393",165,"Big 12",1401.23,"cons 16","E[cons 16]"
"394",165,"Big 12",1366.55,"cons 32","E[cons 24]"
"395",165,"Big 12",1359.57,"cons 24","E[cons 24]"
"400",165,"Big 12",1442.52,"AA","E[cons 12]"
"401",165,"Big 12",1309.42,"cons 24","E[NQ]"
"403",165,"Big 12",1345.52,"cons 24","E[cons 32]"
"405",165,"Big Ten",1391.54,"cons 16","E[cons 16]"
"407",165,"Big Ten",1485.34,"AA","E[AA]"
"408",165,"Big Ten",1436.88,"cons 12","E[cons 12]"
"409",165,"Big Ten",1421.35,"AA","E[cons 16]"
"410",165,"Big Ten",1317.56,"cons 32","E[NQ]"
"411",165,"Big Ten",1522.84,"AA","E[AA]"
"412",165,"Big Ten",1469.33,"cons 24","E[AA]"
"413",165,"Big Ten",1322.45,"cons 32","E[NQ]"
"415",165,"Big Ten",1395.27,"cons 12","E[cons 16]"
"416",165,"Big Ten",1447.74,"cons 12","E[AA]"
"417",165,"Big Ten",1467.33,"AA","E[AA]"
"418",165,"EIWA",1382.2,"cons 33","E[cons 24]"
"419",165,"EIWA",1423.94,"AA","E[cons 12]"
"421",165,"EIWA",1344.31,"cons 16","E[cons 32]"
"427",165,"EIWA",1368.24,"cons 32","E[cons 24]"
"431",165,"EIWA",1346.24,"cons 24","E[cons 32]"
"433",165,"EIWA",1366.99,"cons 24","E[cons 24]"
"436",165,"EWL",1433.82,"AA","E[cons 12]"
"439",165,"EWL",1470.54,"cons 12","E[AA]"
"442",165,"MAC",1312.98,"cons 32","E[NQ]"
"443",165,"MAC",1365.55,"cons 24","E[cons 24]"
"452",165,"Pac 12",1443.66,"cons 16","E[AA]"
"457",165,"SoCon",1300.11,"cons 32","E[NQ]"
"459",165,"SoCon",1339.69,"cons 32","E[NQ]"
"462",174,"ACC",1374.13,"cons 32","E[cons 24]"
"463",174,"ACC",1395.03,"cons 24","E[cons 12]"
"464",174,"ACC",1376.51,"cons 24","E[cons 16]"
"466",174,"ACC",1413.19,"cons 16","E[AA]"
"467",174,"ACC",1307.74,"cons 33","E[NQ]"
"468",174,"Big 12",1337.72,"cons 24","E[cons 32]"
"473",174,"Big 12",1387.97,"AA","E[cons 12]"
"474",174,"Big 12",1413.14,"cons 12","E[AA]"
"475",174,"Big 12",1375.52,"cons 24","E[cons 16]"
"477",174,"Big 12",1412.81,"AA","E[NQ]"
"480",174,"Big Ten",1467.78,"AA","E[AA]"
"482",174,"Big Ten",1344.23,"cons 24","E[cons 32]"
