Weight,Rank,Name,Year,School,State,College,Previous
195,15,Wyatt Koelling,Jr.,Davis,UT,,14
195,16,Blake Rypel,Jr.,Indianapolis Cathedral,IN,,15
195,17,Hunter Brown,Sr.,Centennial,NV,,19
195,18,Jared Aziz,Sr.,Centauri,CO,,20
195,19,Matt Stencel,Jr.,Oregon Clay,OH,Central Michigan,NR
195,20,Nathaniel Rose,Sr.,Eagle Academy,NY,Buffalo,NR
220,1,Jordan Wood,Jr.,Boyertown,PA,,1
220,2,Kenneth Brinson,Sr.,Marist,GA,Army,2
220,3,Austin Myers,Sr.,Campbell County,KY,West Virginia,3
220,4,Ryan Parmely,Sr.,Maquoketa Valley,IA,Upper Iowa,5
220,5,Ethan Andersen,Jr.,Southeast Polk,IA,,6
220,6,Patrick Grayson,Sr.,Colonial Forge,VA,Nebraska,8
220,7,Youssif Hemida,Sr.,Mamaroneck,NY,Maryland,9
220,8,Gannon Gremmel,Jr.,Hempstead,IA,,7
220,9,Josh Colegrove,Sr.,Lowell,MI,,10
220,10,Gable Steveson,Fr.,Apple Valley,MN,,11
220,11,Christian Colucci,Sr.,St. Peter's Prep,NJ,Lehigh,13
220,12,Trevor Eicher ,Jr.,Deer Park,WA,,14
220,13,Reynold Maines,Sr.,Western Branch,PA,Clarion,16
220,14,David Showunmi,Sr.,Blair Academy,NJ,Stanford,17
220,15,Ian Butterbrodt,Sr.,St. Johns Prep,MA,Brown,17(285)
220,16,Seth Nevills,Fr.,Clovis,CA,,20
220,17,Vincent Feola,Sr.,Walt Whitman,NY,,HM
220,18,Devin Rothrock,Sr.,Arvada,CO,Northern Colorado,NR
220,19,Joshua King,Jr.,Hinsdale South,IL,,NR
220,20,Marc McDonald ,Sr.,West Essex,NJ,,NR
285,1,Michael Johnson,Sr.,Montini Catholic,IL,Yale (Football),1
285,2,Zack Chakonis,Sr.,Don Bosco Prep,NJ,Northwestern,3
285,3,Osawaru Odighizuwa,Jr.,David Douglas,OR,,2
285,4,Gage Cervenka,Sr.,Emerald,SC,Clemson (Football),4
285,5,Kevin Vough,So.,Elyria,OH,,5
285,6,Tate Orndorff,Sr.,University,WA,Oregon State,6
285,7,Jake Marnin,Sr.,Southeast Polk,IA,Southern Illinois (Football),7
285,8,Andrew Dunn ,Sr.,Bethlehem Catholic ,PA,Virginia Tech,4(220)
285,9,Shawn Streck,Jr.,Merrillville,IN,,8
285,10,Dan Stribal,Sr.,Bon Homme Scotland,SD,North Dakota State,9
285,11,Chance Veller,Jr.,Delta,OH,,10
285,12,Mike Rogers,Jr.,Wyoming Seminary,PA,North Carolina State,11
285,13,Hunter Mullins,Jr.,Orting,WA,,12
285,14,Ryan Prescott,Sr.,Whittemore Prescott,MI,Northern Illinois,13
285,15,Al Beattie,Sr.,Burrell,PA,Pitt Johnstown,18
285,16,Bo Spiller,Sr.,Solanco,PA,Bloomsberg,19
285,17,Que Overton,Sr.,Jenks,OK,Oklahoma (Football),HM
285,18,Elliott Lee,Sr.,Archer,GA,,12(220)
285,19,Norman Oglesby,Sr.,Benjamin Davis,IN,Cincinnati (Football),NR
285,20,Nick Rivera,So.,Brick Memorial,NJ,,NR
