Weight,Last,First,Finish
174,McFadden,David,5
174,Labriola,Mikey,6
174,Kutler,Jordan,7
174,Skatzka,Devin,8
174,Harvey,Ben,cons 12
174,Kane,Devin,cons 12
174,Lujan,Taylor,cons 12
174,Lydy,Dylan,cons 12
174,Grello,Joe,cons 16
174,Smith,Ethan,cons 16
174,Smith,Jacobe,cons 16
174,Womack,Brandon,cons 16
174,Bastian,Kimball,cons 24
174,Bullard,Daniel,cons 24
174,Carey,Spencer,cons 24
174,Christensen,Ryan,cons 24
174,Coleman,Marcus,cons 24
174,Finesilver,Matt,cons 24
174,Hastings,Hayden,cons 24
174,Morgan,Andrew,cons 24
174,De La Riva,Lorenzo,cons 32
174,Deprez,Vincent,cons 32
174,Hughes,Drew,cons 32
174,Oliver,Jacob,cons 32
174,Richards,Neal,cons 32
174,Sherry,Dean,cons 32
174,Stefanik,Travis,cons 32
174,Wilson,Brit,cons 32
174,Covaciu,Jake,cons 33
184,Foster,Drew,1
184,Dean,Maxwell,2
184,Martin,Myles,3
184,Preisch,Ryan,4
184,Parker,Emery,5
184,Ness,Chip,6
184,Geer,Dakota,7
184,Zavatsky,Zachary,8
184,Bonaccorsi,Nino,cons 12
184,Colbray,Samuel,cons 12
184,Deprez,Lou,cons 12
184,Venz,Taylor,cons 12
184,Caffey,Cameron,cons 16
184,Hazel,Corey,cons 16
184,Rasheed,Shakur,cons 16
184,Wilcke,Cash,cons 16
184,Lyon,Max,cons 24
184,McNally,Andrew,cons 24
184,Reenan,Nick,cons 24
184,Reinhardt,Mason,cons 24
184,Samuelson,Tate,cons 24
184,Schany,Will,cons 24
184,Stewart,Noah,cons 24
184,Wisman,Dylan,cons 24
184,Coleman,Bob,cons 32
184,Ducharme,Dom,cons 32
184,Gravina,Nick,cons 32
184,Harvey,Tanner,cons 32
184,Hemauer,Jackson,cons 32
184,LaFragola,Christian,cons 32
184,Parker,Kevin,cons 32
184,Sumner,Will,cons 32
184,Kober,Chris,cons 33
197,Nickal,Bo,1
197,Moore,Kollin,2
197,Weigel,Preston,3
197,Brucki,Patrick,4
197,Hokit,Josh,5
197,Miklus,William,6
197,Warner,Jacob,7
197,Honis,Benjamin,8
197,Brunner,Christian,cons 12
197,Lane,Thomas,cons 12
197,Sleigh,Tom,cons 12
197,Traxler,Nathan,cons 12
197,Jakobsen,Jake,cons 16
197,Laird,Ethan,cons 16
197,Orndorff,Tanner,cons 16
197,Schultz,Eric,cons 16
197,Adams,Noah,cons 24
197,Aiello,Jay,cons 24
197,McDonald,Malik,cons 24
197,McLaughlin,Anthony,cons 24
197,Perry,Brett,cons 24
197,Phipps,Drew,cons 24
197,Roetman,Joshua,cons 24
197,Woodley,Jake,cons 24
197,Bulsak,Greg,cons 32
197,Caywood,Rocco,cons 32
197,Diabe,Randall,cons 32
197,Loiseau,Stephen,cons 32
197,Root,Sawyer,cons 32
197,Seely,Jacob,cons 32
197,Stout,Kellan,cons 32
197,Whitman,Brandon,cons 32
197,Jones,Rod,cons 33
285,Cassar,Anthony,1
285,White,Derek,2
285,Steveson,Gable,3
285,Wood,Jordan,4
285,Dhesi,Amar,5
285,Hemida,Youssif,6
285,Hillger,Trent,7
285,Stencel,Matt,8
285,Butterbrodt,Ian,cons 12
285,Elam,Zach,cons 12
285,Parris,Mason,cons 12
285,Stoll,Sam,cons 12
285,Jennings,Conan,cons 16
285,Orndorff,Tate,cons 16
285,Singletary,Chase,cons 16
285,Voss,Matt,cons 16
285,Andrews,Brian,cons 24
285,Aven,Jacob,cons 24
285,Goodhart,Joseph,cons 24
285,Gremmel,Gannon,cons 24
285,Haines,Thomas,cons 24
285,Jensen,David,cons 24
285,Miller,Cary,cons 24
285,Thomas,Demetrius,cons 24
285,Gilliland-Daniel,Cory,cons 32
285,Maley,Haydn,cons 32
285,McKiernan,Colton,cons 32
285,Miller,Billy,cons 32
285,Nevills,AJ,cons 32
285,Ngati,Brandon,cons 32
285,Pelusi,Antonio,cons 32
285,Sweany,Jeramy,cons 32
285,Parker,Zack,cons 33
