Weight,Last,First,Conference,Finish,ELO
133,Lantry,Bryan,MAC,cons 24,1370.78
133,Richardson,Caleb,MAC,NQ,
133,Simon,Dresden,MAC,NQ,
133,Tutolo,Anthony,MAC,cons 24,1346.48
133,Naser,Ali,Pac 12,cons 32,1387.09
133,Nickell,Sean,Pac 12,cons 16,1339.70
133,Pengilly,Mason,Pac 12,cons 32,1317.20
133,Schilling,Ty,Pac 12,NQ,
133,Turner,Devin,Pac 12,NQ,
133,Anderson,Phillip,SoCon,NQ,
133,Boston,Nathan,SoCon,NQ,1323.97
133,Debien,Chris,SoCon,NQ,
133,Long,Nicholar,SoCon,NQ,
133,Muldoon,John,SoCon,cons 32,1312.15
133,Ode,Zamir,SoCon,NQ,
133,Russell, Codi,SoCon,NQ,1347.58
133,Starner,Hunter,SoCon,NQ,
141,Headlee,Austin,ACC,cons 32,1340.85
141,Jack,Kevin,ACC,6,1463.7
141,Martino,Sam,ACC,NQ,
141,Moore,Brent,ACC,cons 24,1361.16
141,Reitz,Jeremiah,ACC,NQ,
141,Zanetta,Nick,ACC,cons 16,1353.24
141,Alber,Josh,Big 12,cons 32,1380.17
141,De Loza ,Chris,Big 12,NQ,
141,Findlay,Matt,Big 12,NQ,
141,Heil,Dean,Big 12,cons 12,1433.64
141,Longo,Mike,Big 12,NQ,
141,Meredith,Bryce,Big 12,2,1477.13
141,Midkiff,McGwire,Big 12,NQ,
141,Monserrat,Christian,Big 12,NQ,
141,Opsal, Alec,Big 12,NQ,1344.27
141,Parker,Ian,Big 12,NQ,
141,Pohlmeyer,Henry,Big 12,cons 24,1332.27
141,Polkowske,Ben,Big 12,NQ,
141,Carr,Michael,Big Ten,cons 12,1401.78
141,Diehl,Ryan,Big Ten,cons 24,1365.38
141,Gasca,Javier,Big Ten,NQ,1344.82
141,Lee,Nick,Big Ten,5,1460.41
141,Limmex,Nate,Big Ten,cons 24,1333.40
141,McKenna,Joey,Big Ten,3,1475
141,McKenna,Alec,Big Ten,NQ,
141,Profaci,Salvatore,Big Ten,NQ,
141,Red,Chad,Big Ten,7,1385.89
141,Stickley,Eli,Big Ten,cons 24,1336.46
141,Thorn,Thomas,Big Ten,cons 32,1372.99
141,Turk,Vincent,Big Ten,cons 16,1352.17
141,Van Brill, Mike,Big Ten,NQ,1359.56
141,Weaver,Cole,Big Ten,cons 16,1347.7
141,Antrassian,Carl,EIWA,NQ,
141,Ascolese,Jp,EIWA,NQ,
141,Clarke,Kizhan,EIWA,NQ,
141,D’Arcy,Pat,EIWA,NQ,
141,Diakomihalis,Yianni,EIWA,1,1480.2
141,Flores,Julian,EIWA,NQ,
141,Gil,Nicholas,EIWA,cons 16,1371.56
141,Harry,Austin,EIWA,NQ,
141,Jaffe,Alexander,EIWA,NQ,1394.09
141,Karam,Luke,EIWA,cons 24,1388.28
141,Kulp,Brett,EIWA,NQ,
141,Russ,Joe,EIWA,NQ,
141,Salvo,Zeke,EIWA,NQ,
141,Smith,Tyler,EIWA,cons 12,1415.39
141,Vespa,Vinny,EIWA,NQ,
141,Williams,Shaun,EIWA,NQ,
141,Anthony,Tejon,EWL,cons 24,1322.67
141,Cheek,Evan,EWL,cons 32,1369.7
141,Dippery,Tyson,EWL,NQ,1361.25
141,Hagan,Nate,EWL,NQ,
141,Oram,Shawn,EWL,NQ,
141,Shoop,Kyle,EWL,cons 32,1358.13
141,Zacherl,Brock,EWL,cons 12,1401.07
141,Eierman,Jaydin,MAC,4,1495.22
141,Estevez,Jason,MAC,NQ,
141,Guillen,Mario,MAC,NQ,
141,Madrigal,Alex,MAC,cons 32,1336.07
141,Perry,Sa`Derian,MAC,8,1329.69
141,Rooney,Tim,MAC,NQ,
141,Rubino,Anthony,MAC,NQ,
141,Smith,Mason,MAC,cons 24,1381.82
141,Hathaway, Jack,Pac 12,NQ,1340.51
141,Locsin, Isaiah,Pac 12,NQ,1341.28
141,Rohlfing,Russell,Pac 12,cons 32,1321.94
141,Schilling,Colton,Pac 12,cons 32,1364.59
141,Villarreal,Nikko,Pac 12,NQ,
141,Enriquez,Irvin,SoCon,cons 33,1318.99
141,Gudenburr,Douglas,SoCon,NQ,
141,Hulcher,Michael,SoCon,NQ,
141,Leach,Dakota,SoCon,NQ,
141,Pongracz, Michael,SoCon,NQ,1353.2
141,Runzo,Dustin,SoCon,NQ,
141,Ryan,Jonathan,SoCon,NQ,
141,Spencer,Denton,SoCon,NQ,
149,Blees,Ryan,ACC,cons 24,1340.88
149,Donahue,Beau,ACC,cons 24,1356.26
149,Heilmann,Troy,ACC,4,1394.89
149,Krivus,Sam,ACC,cons 16,1349.97
149,Lee,Robert,ACC,NQ,
149,Leynaud,Brandon,ACC,NQ,
149,Carlson,Colten,Big 12,NQ,
149,Degen,Jarrett,Big 12,cons 12,1365.25
149,Fate,Jimmy,Big 12,NQ,
149,Gliva,Kyle,Big 12,NQ,
149,Jeffries,Davion,Big 12,cons 32,1347.67
149,Lewallen,Boo,Big 12,8,1424.25
149,Olivas,Khristian,Big 12,cons 24,1323.32
149,Ontiveros,Matthew,Big 12,NQ,
149,Rea,Kyler,Big 12,NQ,
149,Robbins,Dane,Big 12,cons 32,1292.43
149,Thomsen,Max,Big 12,cons 12,1414.76
149,Turner,Sam,Big 12,cons 32,1327.54
149,Amine,Malik,Big Ten,cons 24,1323.92
149,Bannister,Alfred,Big Ten,cons 24,1388.91
149,Barone,Eric,Big Ten,NQ,
149,Bleise,Steve,Big Ten,cons 24,1372.79
149,Britton,Jwan,Big Ten,NQ,
